,ID,Teff,logg,MH
33840,43395941,6104.0,4.1111498,
34030,326104913,6329.0,3.3693699999999995,
34038,246847123,5427.0,4.436039900000001,
34248,246847134,5692.0,3.8389201,-0.039999999
34291,246862113,6112.0,4.3845901,
34367,43364029,5156.0,4.56321,
34368,43364030,5861.0,4.3130398,
34455,326104936,6219.6001,4.3649100999999995,-0.2
34512,322518101,5935.0,4.0048699,
34576,246856284,5782.0,4.0014801,
34580,246856288,6427.0,4.2241302,
34598,246888991,6051.0,4.4110999,
34608,43364033,6171.0,4.4768300000000005,
34635,246894920,4106.0,4.546589900000001,
34654,43450446,5511.96,3.7588201,0.0
34693,43395968,6336.0,4.2591801,
34708,12418556,6490.0,4.06497,
34922,12418562,6129.0,4.5612702,
35071,246894934,5307.0,4.53758,
35123,43395978,5880.0,4.0791797999999995,
35146,63905200,7264.0,4.0423598,
35192,326091969,5669.0,4.3429198,
35246,322518131,5485.6001,4.1599202,-1.11
35257,43364056,6142.0,4.2125802000000006,
35259,43364058,6146.0,4.482419999999999,
35358,12418579,5764.0,4.3550301,
35403,246879907,4520.0,4.6030502,
35415,326196642,6148.0,4.36239,
35419,326196646,6208.8999,4.07511,-0.18000001
35514,246894952,5344.0,4.3297300000000005,
35558,326105005,5419.0,4.1585002,
35569,246847175,5737.5,3.6300299,-1.1
35578,12418586,6134.0,4.4486299,
35674,12424249,6214.0,4.2708502,
